Name,Comment,Time,Likes,Reply Count
IT k Funde,Hi Kesava thank you for your feedback I will defintely make something on Splunk.,2020-07-19T20:04:06Z,0,
Murali Dharan,This video helps me to understanding about API. I was confused between API and http. Now with your Facebook/Instagram example now it's crystal clear for me. Thank you for this wonderful video.,2020-06-11T07:22:08Z,1,1
IT k Funde,Thank you Murali :),2020-06-11T08:49:34Z,0,
yogesh kothari,"Basic but very important concept to understand. 
You nailed the explanation with relatable example.",2020-04-04T11:13:45Z,2,1
IT k Funde,thanks yogesh,2020-04-05T00:45:57Z,0,
Quentin,"I like that latte example. I also subscribed to your channel--you have my support! Another interesting thing about APIs is they don't always need to be public-facing. For example, if a company wants to build a really complex application they can divide up the developers into teams to work on separate segments of the app. The teams have to define their 'scope' and a 'use case diagram' for their part of the app so the other dev teams know how to interact with it. Then, in the end you have a fully integrated, complex app that can be easily maintained. Components can be swapped out as long as they adhere to the API rules and without affecting the rest of the application.",2020-02-05T00:57:23Z,8,3
IT k Funde,Thanks Meghna for your valuable feedback I will defintely make something on APIs in future.  Do checkout my other videos it may help.  Spread the word ! Cheers Anshul,2020-04-22T23:38:39Z,0,
Meghana Ekbote,"@IT k Funde Thanks for the example. I come from developing background too but it's been a long time I coded some. Now I'm into product management & trying to brush up my basics all over again. I'm always learning. If you can, in your next video, can you cover API integrations. I know it's a huge topic but you can cover in various series of videos.",2020-04-21T20:01:34Z,1,
IT k Funde,"Thanks Quentin for your support. Thanks for sharing this important piece of information, yes APIs can be public, private and partner, this is awesome thank you for adding value to this personal initiative. Do suggest some topics, my goal is to break complex tech jargons into easy relatable examples. And such inputs really helps a lot. Do checkout my other videos and leave your feedback it helps.",2020-02-05T07:57:14Z,0,
Mandeep Singh,Best 👍💯,2020-02-04T16:58:04Z,0,1
IT k Funde,thanks Bhai !,2020-02-04T17:59:21Z,0,
